,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
3118,60,4.1,81,1009,22.75,20.5,21.92,18.19,21.59,2
3119,120,2.6,64,1017,20.53,17.8,18.79,12.19,19.15,1
3120,190,6.2,65,1017,23.24,21.3,22.27,15.4,22.29,1
3121,190,4.1,81,1012,24.37,22.8,23.99,20.02,23.47,1
3122,220,5.7,67,1007,28.99,26.24,29.81,21.04,27.73,1
3123,280,4.1,34,1004,30.6,26.86,27.47,10.88,28.22,1
3124,30,2.6,81,1001,24.96,22.8,24.63,20.59,24.05,1
3125,300,4.1,43,1007,24.4,23.29,23.44,10.55,23.87,1
3126,0,0.0,57,1011,23.62,22.42,22.82,14.01,22.98,1
3127,40,7.2,59,1014,22.8,19.41,19.66,11.81,20.06,1
3128,100,3.6,86,1018,18.51,17.2,18.18,15.69,18.07,1
3129,210,5.1,64,1016,25.0,22.72,23.49,16.23,23.42,1
3130,200,5.1,73,1016,24.4,23.18,24.02,18.57,23.69,1
3131,70,3.1,71,1015,25.24,23.76,24.97,18.99,24.6,1
3132,260,5.7,45,1012,32.2,27.61,29.13,15.9,29.03,1
3133,210,7.2,87,1009,25.0,23.54,24.64,21.62,23.92,2
3134,270,5.7,36,1008,27.8,25.97,26.53,10.26,26.53,1
3135,250,4.6,50,1008,26.1,24.69,25.0,13.98,25.13,1
3136,220,6.7,39,1011,27.8,24.64,25.12,10.54,25.5,1
3137,200,6.2,56,1008,26.92,25.3,26.08,16.62,26.08,1
3138,220,3.6,78,1011,23.75,21.7,23.33,18.9,22.94,2
3139,280,7.7,38,1010,25.6,24.04,23.92,9.2,24.43,1
3140,270,4.6,41,1012,25.0,22.15,22.31,8.96,22.89,1
3141,60,3.6,81,1015,20.46,18.9,19.96,16.46,19.81,1
3142,100,1.5,81,1016,20.38,18.9,20.1,16.58,19.94,1
3143,140,1.5,83,1018,19.28,17.8,18.75,15.72,18.66,1
3144,200,6.2,66,1016,23.57,21.79,22.61,15.9,22.57,1
3145,190,2.6,93,1009,21.87,21.41,22.28,20.45,21.63,2
3146,270,5.1,45,1010,26.1,23.59,24.14,11.76,24.46,1
3147,90,2.1,75,1017,22.53,21.1,21.96,17.15,21.77,1
3148,190,5.1,55,1019,25.2,23.81,24.39,14.83,24.45,1
3149,190,3.6,75,1019,24.16,23.0,24.04,18.97,23.66,2
3150,70,2.1,73,1018,26.51,23.76,25.41,19.78,24.95,1
3151,0,2.6,47,1016,30.6,26.4,28.04,15.51,27.85,1
3152,220,4.1,76,1016,26.92,25.56,26.16,21.6,26.16,1
3153,190,4.1,66,1018,26.74,25.13,26.18,18.99,25.82,1
3154,110,7.7,96,1018,23.93,20.6,23.38,21.89,22.56,2
3155,340,3.1,76,1017,25.6,23.32,24.54,19.6,24.09,2
3156,30,1.5,89,1019,21.69,20.0,21.49,19.13,21.01,1
3157,40,2.6,100,1015,21.92,20.6,22.18,21.38,21.38,1
3158,130,3.1,96,1012,23.77,21.1,23.69,22.17,22.84,1
